"","castaway_id","full_name","short_name","date_of_birth","date_of_death","gender","race","ethnicity","occupation","personality_type"
"1",1,"Sonja Christopher","Sonja",1937-01-28,NA,"Female",NA,NA,"Musician","ENFP"
"2",2,"B.B. Andersen","B.B.",1936-01-18,2013-10-29,"Male",NA,NA,"Real Estate Developer","ESTJ"
"3",3,"Stacey Stillman","Stacey",1972-08-11,NA,"Female",NA,NA,"Attorney","ENTJ"
"4",4,"Ramona Gray","Ramona",1971-01-20,NA,"Female","Black",NA,"Biochemist/Chemist","ISTJ"
"5",5,"Dirk Been","Dirk",1976-06-15,NA,"Male",NA,NA,"Dairy Farmer","ISFP"
"6",6,"Joel Klug","Joel",1972-04-13,NA,"Male",NA,NA,"Health Club Consultant","ESTJ"
"7",7,"Gretchen Cordy","Gretchen",1962-02-07,NA,"Female",NA,NA,"Teacher","ESFJ"
"8",8,"Greg Buis","Greg",1975-12-31,NA,"Male",NA,NA,"Ivy League Graduate","INTP"
"9",9,"Jenna Lewis","Jenna L.",1977-07-16,NA,"Female",NA,NA,"Student","ENFP"
"10",10,"Gervase Peterson","Gervase",1969-11-02,NA,"Male","Black",NA,"YMCA Basketball Coach;Cigar Lounge Owner","ESTP"
"11",11,"Colleen Haskell","Colleen",1976-12-06,NA,"Female",NA,NA,"Student","INFP"
"12",12,"Sean Kenniff","Sean",1969-11-27,NA,"Male",NA,NA,"Doctor","INTP"
"13",13,"Susan Hawk","Sue",1961-08-17,NA,"Female",NA,NA,"Truck Driver","ESTP"
"14",14,"Rudy Boesch","Rudy",1928-01-20,2019-11-01,"Male",NA,NA,"Retired Navy SEAL","ISTJ"
"15",15,"Kelly Wiglesworth","Kelly",1977-06-24,NA,"Female",NA,NA,"River Guide","ISFP"
"16",16,"Richard Hatch","Richard",1961-04-08,NA,"Male",NA,NA,"Corporate Trainer","ENTP"
"17",17,"Debb Eaton","Debb",1955-06-11,NA,"Female",NA,NA,"Corrections Officer","ISFP"
"18",18,"Kel Gleason","Kel",1968-01-05,NA,"Male",NA,"Hispanic or Latino","Army Intelligence Officer","ISTJ"
"19",19,"Maralyn Hershey","Maralyn",1949-01-24,NA,"Female",NA,NA,"Retired Police Officer","ESTP"
"20",20,"Mitchell Olson","Mitchell",1977-03-17,NA,"Male",NA,NA,"Singer/Songwriter","ENFP"
"21",21,"Kimmi Kappenberg","Kimmi",1972-11-11,NA,"Female",NA,NA,"Bartender","ENFP"
"22",22,"Michael Skupin","Michael",1962-01-29,NA,"Male",NA,NA,"Software Publisher;Part-Time Professional Speaker","ESFJ"
"23",23,"Jeff Varner","Jeff",1966-04-16,NA,"Male",NA,NA,"Internet Projects Manager","ENFP"
"24",24,"Alicia Calaway","Alicia",1968-05-01,NA,"Female","Black",NA,"Personal Trainer","ESTJ"
"25",25,"Jerri Manthey","Jerri",1970-09-05,NA,"Female",NA,NA,"Aspiring Actress","ESFP"
"26",26,"Nick Brown","Nick",1977-04-02,NA,"Male","Black",NA,"Harvard Law Student","ISTJ"
"27",27,"Amber Mariano","Amber",1978-08-11,NA,"Female",NA,NA,"Administrative Assistant;Director of Marketing and Communications","ISFP"
"28",28,"Rodger Bingham","Rodger",1947-07-05,NA,"Male",NA,NA,"Teacher/Farmer","ISFJ"
"29",29,"Elisabeth Filarski","Elisabeth",1977-05-28,NA,"Female",NA,NA,"Footwear Designer","INFP"
"30",30,"Keith Famie","Keith",1960-02-11,NA,"Male",NA,NA,"Chef","ESTJ"
"31",31,"Colby Donaldson","Colby",1974-04-01,NA,"Male",NA,NA,"Auto Customizer","ISTP"
"32",32,"Tina Wesson","Tina",1960-12-26,NA,"Female",NA,NA,"Personal Nurse;Motivational Speaker","ESFJ"
"33",33,"Diane Ogden","Diane",1959-04-27,NA,"Female",NA,NA,"U.S. Mail Carrier","ESTP"
"34",34,"Jessie Camacho","Jessie",1974-09-24,NA,"Female",NA,"Hispanic or Latino","Deputy Sheriff","ISFP"
"35",35,"Carl Bilancione","Carl",1955-06-20,NA,"Male",NA,NA,"Dentist","ESTJ"
"36",36,"Linda Spencer","Linda",1957-01-01,NA,"Female","Black",NA,"Career Counselor","ESFJ"
"37",37,"Silas Gaither","Silas",1978-01-28,NA,"Male",NA,NA,"Bartender","ESTJ"
"38",38,"Lindsey Richter","Lindsey",1974-08-31,NA,"Female",NA,NA,"Advertising Executive","ESFP"
"39",39,"Clarence Black","Clarence",1976-12-21,NA,"Male","Black",NA,"Basketball Coach","ISTP"
"40",40,"Kelly Goldsmith","Kelly",1979-04-27,NA,"Female",NA,NA,"Behavioral Research Analyst","ENTP"
"41",41,"Brandon Quinton","Brandon",1976-01-22,NA,"Male",NA,NA,"Bartender","ENFP"
"42",42,"Frank Garrison","Frank",1958-07-22,NA,"Male",NA,NA,"Telephone Technician","ISTJ"
"43",43,"Kim Powers","Kim P.",1971-12-03,NA,"Female",NA,NA,"Freelance Marketer","INFP"
"44",44,"Teresa Cooper","Teresa",1959-05-05,NA,"Female",NA,NA,"Flight Attendant","ENFP"
"45",45,"Tom Buchanan","Tom",1955-10-30,NA,"Male",NA,NA,"Goat Farmer","ESTP"
"46",46,"Lex van den Berghe","Lex",1963-06-18,NA,"Male",NA,NA,"Marketing Manager","ENTJ"
"47",47,"Kim Johnson","Kim J.",1944-09-18,NA,"Female",NA,NA,"Retired Teacher","ISFJ"
"48",48,"Ethan Zohn","Ethan",1973-11-12,NA,"Male","White","Jewish","Professional Soccer Player;Social Entrepreneur/Keynote Speaker","ISFP"
"49",49,"Peter Harkey","Peter",1956-01-17,NA,"Male",NA,NA,"Bowling Alley Owner","ENFP"
"50",50,"Patricia Jackson","Patricia",1952-04-08,NA,"Female",NA,NA,"Truck Assembler","ISFJ"
"51",51,"Hunter Ellis","Hunter",1968-07-05,NA,"Male",NA,NA,"Former Navy Fighter Pilot","ESTJ"
"52",52,"Sarah Jones","Sarah",1977-08-11,NA,"Female",NA,NA,"Account Manager","ISFP"
"53",53,"Gabriel Cade","Gabriel",1978-07-01,NA,"Male",NA,NA,"Bartender","INFP"
"54",54,"Gina Crews","Gina",1973-02-07,NA,"Female",NA,NA,"Nature Guide","ISFJ"
"55",55,"Rob Mariano","Boston Rob",1975-12-25,NA,"Male",NA,NA,"Construction Worker","ESTJ"
"56",56,"John Carroll","John",1965-06-14,NA,"Male",NA,NA,"Registered Nurse","ENTJ"
"57",57,"Zoe Zanidakis","Zoe",1966-03-17,NA,"Female",NA,NA,"Fishing Boat Captain","ISTJ"
"58",58,"Tammy Leitner","Tammy",1972-07-03,NA,"Female",NA,NA,"Crime Reporter","ENFJ"
"59",59,"Robert DeCanio","Robert",1963-06-19,NA,"Male",NA,NA,"Limousine Driver","ISTJ"
"60",60,"Sean Rector","Sean",1971-08-20,NA,"Male","Black",NA,"Teacher","ENTP"
"61",61,"Paschal English","Paschal",1945-03-05,NA,"Male",NA,NA,"Judge","ISFJ"
"62",62,"Kathy Vavrick-O'Brien","Kathy",1955-01-06,NA,"Female",NA,NA,"Real Estate Agent","ESFJ"
"63",63,"Neleh Dennis","Neleh",1980-02-19,NA,"Female",NA,NA,"Student","ENFP"
"64",64,"Vecepia Towery","Vecepia",1965-12-09,NA,"Female","Black",NA,"Office Manager","ISTJ"
"65",65,"John Raymond","John",1962-02-21,NA,"Male",NA,NA,"Pastor","ENFP"
"66",66,"Tanya Vance","Tanya",1974-11-29,NA,"Female",NA,NA,"Social Worker","ESTJ"
"67",67,"Jed Hildebrand","Jed",1976-12-05,NA,"Male",NA,NA,"Dental Student","ISFP"
"68",68,"Ghandia Johnson","Ghandia",1969-01-03,NA,"Female","Black",NA,"Legal Secretary","ESFP"
"69",69,"Stephanie Dill","Stephanie",1972-11-15,NA,"Female",NA,NA,"Firefighter","ISTJ"
"70",70,"Robert Zbacnik","Robb",1978-09-12,NA,"Male",NA,NA,"Bartender","ESFP"
"71",71,"Shii Ann Huang","Shii Ann",1974-01-24,NA,"Female","Asian","Taiwanese American","Executive Recruiter","INTJ"
"72",72,"Erin Collins","Erin",1976-01-07,NA,"Female",NA,NA,"Real Estate Agent","ESFP"
"73",73,"Ken Stafford","Ken",1972-06-20,NA,"Male",NA,NA,"NYC Police Officer","ESTJ"
