,season_name,season,episode,castaway,finalist,vote,castaway_id,finalist_id,jury_vote
3,Survivor: 41,41,,Danny,Deshawn,1,599,601,TRUE
9,Survivor: 41,41,,Heather,Erika,1,593,594,TRUE
10,Survivor: 41,41,,Ricard,Erika,1,596,594,TRUE
12,Survivor: 41,41,,Liana,Erika,1,608,594,TRUE
13,Survivor: 41,41,,Shan,Erika,1,606,594,TRUE
14,Survivor: 41,41,,Evvie,Erika,1,598,594,TRUE
15,Survivor: 41,41,,Naseer,Erika,1,600,594,TRUE
16,Survivor: 41,41,,Tiffany,Erika,1,604,594,TRUE
46,Survivor: Winners at War,40,,Ethan,Natalie,1,48,442,TRUE
47,Survivor: Winners at War,40,,Jeremy,Natalie,1,433,442,TRUE
50,Survivor: Winners at War,40,,Parvati,Natalie,1,197,442,TRUE
54,Survivor: Winners at War,40,,Tyson,Natalie,1,274,442,TRUE
57,Survivor: Winners at War,40,,Adam,Tony,1,498,424,TRUE
58,Survivor: Winners at War,40,,Amber,Tony,1,27,424,TRUE
59,Survivor: Winners at War,40,,Ben,Tony,1,516,424,TRUE
60,Survivor: Winners at War,40,,Danni,Tony,1,166,424,TRUE
61,Survivor: Winners at War,40,,Denise,Tony,1,386,424,TRUE
64,Survivor: Winners at War,40,,Kim,Tony,1,371,424,TRUE
65,Survivor: Winners at War,40,,Nick,Tony,1,556,424,TRUE
67,Survivor: Winners at War,40,,Boston Rob,Tony,1,55,424,TRUE
68,Survivor: Winners at War,40,,Sarah,Tony,1,414,424,TRUE
69,Survivor: Winners at War,40,,Sophie,Tony,1,353,424,TRUE
71,Survivor: Winners at War,40,,Wendell,Tony,1,536,424,TRUE
72,Survivor: Winners at War,40,,Yul,Tony,1,202,424,TRUE
73,Survivor: Island of the Idols,39,,Aaron,Dean,1,580,589,TRUE
75,Survivor: Island of the Idols,39,,Elizabeth,Dean,1,582,589,TRUE
94,Survivor: Island of the Idols,39,,Elaine,Tommy,1,584,590,TRUE
96,Survivor: Island of the Idols,39,,Jack,Tommy,1,577,590,TRUE
97,Survivor: Island of the Idols,39,,Jamal,Tommy,1,579,590,TRUE
98,Survivor: Island of the Idols,39,,Janet,Tommy,1,586,590,TRUE
99,Survivor: Island of the Idols,39,,Karishma,Tommy,1,583,590,TRUE
100,Survivor: Island of the Idols,39,,Kellee,Tommy,1,578,590,TRUE
101,Survivor: Island of the Idols,39,,Lauren,Tommy,1,587,590,TRUE
102,Survivor: Island of the Idols,39,,Missy,Tommy,1,581,590,TRUE
103,Survivor: Edge of Extinction,38,,Aubry,Chris,1,477,559,TRUE
105,Survivor: Edge of Extinction,38,,David,Chris,1,495,559,TRUE
106,Survivor: Edge of Extinction,38,,Eric,Chris,1,562,559,TRUE
107,Survivor: Edge of Extinction,38,,Joe,Chris,1,451,559,TRUE
108,Survivor: Edge of Extinction,38,,Julia,Chris,1,563,559,TRUE
111,Survivor: Edge of Extinction,38,,Reem,Chris,1,557,559,TRUE
113,Survivor: Edge of Extinction,38,,Ron,Chris,1,565,559,TRUE
114,Survivor: Edge of Extinction,38,,Victoria,Chris,1,567,559,TRUE
115,Survivor: Edge of Extinction,38,,Wardog,Chris,1,564,559,TRUE
117,Survivor: Edge of Extinction,38,,Aurora,Gavin,1,566,570,TRUE
122,Survivor: Edge of Extinction,38,,Kelley,Gavin,1,429,570,TRUE
123,Survivor: Edge of Extinction,38,,Lauren,Gavin,1,568,570,TRUE
125,Survivor: Edge of Extinction,38,,Rick,Gavin,1,560,570,TRUE
153,Survivor: David vs. Goliath,37,,Alison,Mike,1,552,555,TRUE
155,Survivor: David vs. Goliath,37,,Christian,Mike,1,550,555,TRUE
161,Survivor: David vs. Goliath,37,,Kara,Mike,1,553,555,TRUE
162,Survivor: David vs. Goliath,37,,Alec,Nick,1,547,556,TRUE
